step,epoch,loss,learning_rate,grad_norm,source_job,source_file
1020,0.18,65.2422,8.222627737226278e-06,21.785709381103516,308081,slurm_train_fusellm_resume-308081.out
1030,0.19,64.6706,8.204379562043796e-06,22.334043502807617,308081,slurm_train_fusellm_resume-308081.out
1040,0.19,65.2361,8.186131386861315e-06,22.450885772705078,308081,slurm_train_fusellm_resume-308081.out
1050,0.19,65.2576,8.167883211678833e-06,77.16807556152344,308081,slurm_train_fusellm_resume-308081.out
1060,0.19,64.9095,8.14963503649635e-06,21.60531997680664,308081,slurm_train_fusellm_resume-308081.out
1070,0.19,64.8613,8.131386861313868e-06,23.092500686645508,308081,slurm_train_fusellm_resume-308081.out
1080,0.2,65.4337,8.113138686131388e-06,23.151687622070312,308081,slurm_train_fusellm_resume-308081.out
1090,0.2,64.403,8.094890510948905e-06,23.820175170898438,308081,slurm_train_fusellm_resume-308081.out
1100,0.2,64.2704,8.076642335766423e-06,21.753520965576172,308081,slurm_train_fusellm_resume-308081.out
1110,0.2,64.2084,8.058394160583943e-06,21.449264526367188,308081,slurm_train_fusellm_resume-308081.out
1120,0.2,65.1227,8.04014598540146e-06,22.50408172607422,308081,slurm_train_fusellm_resume-308081.out
1130,0.2,65.1105,8.02189781021898e-06,22.419292449951172,308081,slurm_train_fusellm_resume-308081.out
1140,0.21,64.4212,8.003649635036497e-06,21.794658660888672,308081,slurm_train_fusellm_resume-308081.out
1150,0.21,65.2032,7.985401459854015e-06,32.09492492675781,308081,slurm_train_fusellm_resume-308081.out
1160,0.21,65.4363,7.967153284671535e-06,21.6936092376709,308081,slurm_train_fusellm_resume-308081.out
1170,0.21,64.9314,7.94890510948905e-06,22.82323455810547,308081,slurm_train_fusellm_resume-308081.out
1180,0.21,64.9691,7.93065693430657e-06,23.612394332885742,308081,slurm_train_fusellm_resume-308081.out
1190,0.22,64.8308,7.912408759124088e-06,23.186857223510742,308081,slurm_train_fusellm_resume-308081.out
1200,0.22,64.2029,7.894160583941607e-06,22.078916549682617,308081,slurm_train_fusellm_resume-308081.out
1210,0.22,64.364,7.875912408759125e-06,22.107873916625977,308081,slurm_train_fusellm_resume-308081.out
1220,0.22,65.4807,7.857664233576643e-06,22.55198860168457,308081,slurm_train_fusellm_resume-308081.out
1230,0.22,64.7358,7.839416058394162e-06,21.27200698852539,308081,slurm_train_fusellm_resume-308081.out
1240,0.22,64.6255,7.82116788321168e-06,24.34626579284668,308081,slurm_train_fusellm_resume-308081.out
1250,0.23,64.9221,7.802919708029197e-06,21.292184829711914,308081,slurm_train_fusellm_resume-308081.out
1260,0.23,65.2428,7.784671532846715e-06,21.573657989501953,308081,slurm_train_fusellm_resume-308081.out
1270,0.23,65.0728,7.766423357664235e-06,21.244579315185547,308081,slurm_train_fusellm_resume-308081.out
1280,0.23,65.0846,7.748175182481752e-06,22.274404525756836,308081,slurm_train_fusellm_resume-308081.out
1290,0.23,64.9538,7.72992700729927e-06,21.32489776611328,308081,slurm_train_fusellm_resume-308081.out
1300,0.24,64.6649,7.71167883211679e-06,21.50852394104004,308081,slurm_train_fusellm_resume-308081.out
1310,0.24,64.4417,7.693430656934307e-06,22.839859008789062,308081,slurm_train_fusellm_resume-308081.out
1320,0.24,63.4952,7.675182481751825e-06,21.77838897705078,308081,slurm_train_fusellm_resume-308081.out
1330,0.24,64.0874,7.656934306569344e-06,33.695274353027344,308081,slurm_train_fusellm_resume-308081.out
1340,0.24,65.4083,7.638686131386862e-06,21.91791534423828,308081,slurm_train_fusellm_resume-308081.out
1350,0.24,64.1533,7.6204379562043805e-06,22.078994750976562,308081,slurm_train_fusellm_resume-308081.out
1360,0.25,65.2099,7.602189781021898e-06,22.24381446838379,308081,slurm_train_fusellm_resume-308081.out
